data,apelant,minute,ora_apel,minut_apel,secunda_apel,datetime,ora sfarsit,secunde
23.01.24,b,0.9044876587340382,16,24,29,2024-01-23 16:24:29,2024-01-23 16:25:23,54
12.01.24,a,0.4944252419048451,18,26,35,2024-01-12 18:26:35,2024-01-12 18:27:05,30
17.02.24,a,1.0557614708398293,15,32,48,2024-02-17 15:32:48,2024-02-17 15:33:51,63
30.12.23,b,0.708357917386697,18,53,27,2023-12-30 18:53:27,2023-12-30 18:54:10,43
26.01.24,b,0.2813813716456201,7,55,43,2024-01-26 07:55:43,2024-01-26 07:56:00,17
17.01.24,b,0.0333333333333333,7,59,0,2024-01-17 07:59:00,2024-01-17 07:59:02,2
16.02.24,c,0.0421101157053788,10,48,42,2024-02-16 10:48:42,2024-02-16 10:48:45,3
13.12.23,a,0.1015396909760318,15,31,32,2023-12-13 15:31:32,2023-12-13 15:31:38,6
12.01.24,e,0.2595572918669961,14,23,11,2024-01-12 14:23:11,2024-01-12 14:23:27,16
09.02.24,b,0.5524538830257385,12,18,8,2024-02-09 12:18:08,2024-02-09 12:18:41,33
29.12.23,c,0.347004127409614,10,38,4,2023-12-29 10:38:04,2023-12-29 10:38:25,21
05.03.24,c,1.1435145553075303,14,50,28,2024-03-05 14:50:28,2024-03-05 14:51:37,69
25.01.24,b,0.7737807686845952,14,19,31,2024-01-25 14:19:31,2024-01-25 14:20:17,46
14.02.24,c,1.1325118138425674,13,38,49,2024-02-14 13:38:49,2024-02-14 13:39:57,68
14.12.23,b,0.5009277849884239,13,24,34,2023-12-14 13:24:34,2023-12-14 13:25:04,30
19.02.24,b,0.1641871567942431,11,49,34,2024-02-19 11:49:34,2024-02-19 11:49:44,10
26.01.24,b,1.473915066095611,15,20,40,2024-01-26 15:20:40,2024-01-26 15:22:08,88
10.01.24,a,2.202622031249434,15,0,28,2024-01-10 15:00:28,2024-01-10 15:02:40,132
06.12.23,a,0.7819374499998608,13,40,45,2023-12-06 13:40:45,2023-12-06 13:41:32,47
13.01.24,c,0.9854722650038654,9,17,45,2024-01-13 09:17:45,2024-01-13 09:18:44,59
25.01.24,c,0.0333333333333333,19,34,22,2024-01-25 19:34:22,2024-01-25 19:34:24,2
25.01.24,b,0.3897362634784267,12,31,58,2024-01-25 12:31:58,2024-01-25 12:32:21,23
21.02.24,b,1.1309548969744423,12,48,0,2024-02-21 12:48:00,2024-02-21 12:49:08,68
20.12.23,h,0.748804692036972,17,14,20,2023-12-20 17:14:20,2023-12-20 17:15:05,45
06.12.23,c,0.908284712533636,15,42,6,2023-12-06 15:42:06,2023-12-06 15:43:00,54
11.01.24,a,0.0333333333333333,10,37,33,2024-01-11 10:37:33,2024-01-11 10:37:35,2
05.03.24,c,0.0333333333333333,9,20,51,2024-03-05 09:20:51,2024-03-05 09:20:53,2
06.12.23,b,0.6284810887415383,10,35,3,2023-12-06 10:35:03,2023-12-06 10:35:41,38
05.03.24,c,1.0870168226347725,18,28,26,2024-03-05 18:28:26,2024-03-05 18:29:31,65
31.01.24,c,0.5115160211522061,11,17,50,2024-01-31 11:17:50,2024-01-31 11:18:21,31
11.01.24,c,0.5962440107883196,6,36,32,2024-01-11 06:36:32,2024-01-11 06:37:08,36
21.02.24,c,0.923541477993032,14,10,58,2024-02-21 14:10:58,2024-02-21 14:11:53,55
17.01.24,h,2.5374860813427143,11,31,42,2024-01-17 11:31:42,2024-01-17 11:34:14,152
09.02.24,a,0.5477329202629648,15,48,46,2024-02-09 15:48:46,2024-02-09 15:49:19,33
31.01.24,b,0.3932916973842021,8,25,22,2024-01-31 08:25:22,2024-01-31 08:25:46,24
29.01.24,b,0.7074648630005479,10,38,12,2024-01-29 10:38:12,2024-01-29 10:38:54,42
03.01.24,h,0.0333333333333333,16,8,15,2024-01-03 16:08:15,2024-01-03 16:08:17,2
25.01.24,c,0.1799655902155811,15,44,14,2024-01-25 15:44:14,2024-01-25 15:44:25,11
06.12.23,c,0.0452809567082757,6,13,48,2023-12-06 06:13:48,2023-12-06 06:13:51,3
09.02.24,a,1.3499450464648777,15,0,34,2024-02-09 15:00:34,2024-02-09 15:01:55,81
21.02.24,b,0.7874042906112075,10,20,27,2024-02-21 10:20:27,2024-02-21 10:21:14,47
22.02.24,d,1.153467949820369,12,43,2,2024-02-22 12:43:02,2024-02-22 12:44:11,69
06.12.23,c,0.2540937037802745,11,29,0,2023-12-06 11:29:00,2023-12-06 11:29:15,15
23.01.24,b,0.1325897533747159,11,33,30,2024-01-23 11:33:30,2024-01-23 11:33:38,8
02.02.24,c,1.2130391338822857,5,34,49,2024-02-02 05:34:49,2024-02-02 05:36:02,73
10.01.24,c,0.6215045503592659,10,59,45,2024-01-10 10:59:45,2024-01-10 11:00:22,37
09.12.23,a,1.00067448336378,18,22,53,2023-12-09 18:22:53,2023-12-09 18:23:53,60
07.12.23,a,1.1925224145461957,10,26,22,2023-12-07 10:26:22,2023-12-07 10:27:34,72
07.02.24,h,0.0333333333333333,8,30,47,2024-02-07 08:30:47,2024-02-07 08:30:49,2
20.02.24,a,0.7169928934222551,8,8,36,2024-02-20 08:08:36,2024-02-20 08:09:19,43
